A000083,A000107,A000110,A000153,A000160,B000014,B000044,B000100,B000138,B000227,B000418,B000429,B000508,B001125,B001142,B001154,C000157,C000414,C000425,C000454,C000478,C000576,C000963,C000973,D000035,D000182,D000264,D000341,D000347,D000404,D000507,D000509,E000110,F000003,F000253,F000298,F000310,F000398,G000023,G000032,G000164,H000029,H000163,H000169,H000258,H000377,H000458,H000654,J000231,J000237,K000028,K000034,K000255,K000353,L000393,M000085,M000200,M000228,M000351,M000397,M000429,M000542,M000543,M000567,M000710,M000818,M000854,M000954,N000040,P000130,P000217,P000232,P000279,P000382,P000383,P000545,P000547,Q000003,Q000006,R000073,S000182,S000262,S000415,S000422,S000741,S000922,T000026,T000116,T000274,T000420,V000091,W000164,W000279,W000312,date,isAmendment,requires,result,title
Nay,,,,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Yea,,,,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,1902-03-17,0,,unknown,s1348
Yea,,,,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Nay,,,,Yea,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1902-03-17,0,,unknown,s1348
Yea,,,,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,1902-03-17,0,,unknown,s1348
Yea,,,,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,1902-03-17,0,,unknown,s1348
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,1902-03-21,0,,unknown,s3653
Nay,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,1902-03-21,0,,unknown,s3653
Yea,,,,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,1902-03-21,0,,unknown,s3653
Yea,,,,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,1902-04-03,0,,unknown,hr9206
Yea,,,,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,1902-04-03,0,,unknown,hr9206
Yea,,,,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,1902-04-03,0,,unknown,hr9206
Nay,,,,Yea,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,1902-04-03,0,,unknown,hr9206
Yea,,,,Yea,Nay,Not Voting,,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,1902-04-07,0,,unknown,hr10530
Yea,,,,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,1902-04-16,0,,unknown,s2960
Nay,,,,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,1902-04-16,0,,unknown,s2960
Nay,,,,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,1902-04-16,0,,unknown,s2960
Not Voting,,,,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,1902-04-16,0,,unknown,s2960
Not Voting,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,1902-04-16,0,,unknown,s2960
Not Voting,,,,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,1902-04-16,0,,unknown,s2960
Not Voting,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1902-04-16,0,,unknown,s2960
Not Voting,,,,Not Voting,Yea,Not Voting,,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,1902-04-18,0,,unknown,s877
