B000739,B000745,B000929,B001133,B001186,C000009,E000075,E000147,F000313,F000368,G000020,G000526,H000368,H000508,I000053,J000017,K000212,L000067,L000115,L000364,M000166,M000828,M000858,M000985,P000473,R000350,R000448,R000550,S001009,T000086,T000107,V000104,date,isAmendment,requires,result,title
Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Nay,,Yea,1794-03-12,0,,unknown,
Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Nay,Yea,,Nay,1794-03-13,0,,unknown,
Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Nay,,Yea,1794-03-13,0,,unknown,
Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Not Voting,Nay,Yea,,Not Voting,1794-03-21,0,,unknown,
Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,,Nay,1794-03-24,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,,Nay,1794-03-28,0,,unknown,
Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Not Voting,Nay,Yea,,Not Voting,1794-03-31,0,,unknown,
Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Yea,,Nay,1794-04-18,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,,Not Voting,1794-04-23,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,1794-04-24,0,,unknown,
