A000043,B000058,B000154,B000212,B000345,B000398,B000433,B000763,B000903,B001117,C000282,C000325,C000496,D000308,D000511,E000024,E000136,F000246,F000284,F000373,G000509,H000398,H000494,H000739,I000028,J000194,K000006,K000217,K000287,L000366,M000137,M000519,M000535,M000550,N000010,N000118,P000402,R000297,R000344,R000471,R000500,S000052,S000268,S000411,S000609,S000628,S000744,T000108,T000382,T000450,W000238,W000376,W000482,W000711,date,isAmendment,requires,result,title
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-19,0,,unknown,
Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,Not Voting,Yea,,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1830-03-22,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-22,0,,unknown,
Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,Not Voting,Not Voting,,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1830-03-23,0,,unknown,
Yea,,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-23,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-23,0,,unknown,
Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,1830-03-23,0,,unknown,
Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,,Yea,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1830-03-24,0,,unknown,
Yea,,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-24,0,,unknown,
Yea,,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-24,0,,unknown,
Nay,,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-03-25,0,,unknown,
Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Nay,Yea,Not Voting,,Not Voting,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,1830-03-25,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,1830-03-25,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,1830-03-26,0,,unknown,
Nay,,Not Voting,Yea,Not Voting,Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,Not Voting,,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,1830-03-26,0,,unknown,
Yea,,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Not Voting,,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,1830-03-26,0,,unknown,
Nay,,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,1830-03-29,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,1830-03-29,0,,unknown,
Nay,,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,1830-03-29,0,,unknown,
Yea,,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,1830-03-30,0,,unknown,
Yea,,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,1830-04-02,0,,unknown,
Yea,,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,1830-04-05,0,,unknown,
Yea,,Not Voting,Yea,Nay,Nay,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,1830-04-08,0,,unknown,
Yea,,Yea,Nay,Yea,Nay,Yea,,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Not Voting,Yea,Yea,,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,1830-04-09,0,,unknown,
Yea,,Not Voting,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,1830-04-10,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-04-12,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1830-04-12,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1830-04-12,0,,unknown,
Nay,,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,1830-04-12,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,1830-04-15,0,,unknown,
Nay,,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,1830-04-16,0,,unknown,
Yea,,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,1830-04-16,0,,unknown,
Yea,,Nay,Nay,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,,Nay,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1830-04-17,0,,unknown,
Nay,,Yea,Yea,Nay,Not Voting,Nay,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,1830-04-17,0,,unknown,
Nay,,Not Voting,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-04-17,0,,unknown,
Yea,,Yea,Nay,Not Voting,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-04-20,0,,unknown,
Nay,,Yea,Yea,Not Voting,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,1830-04-20,0,,unknown,
Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-04-24,0,,unknown,
Nay,,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-04-24,0,,unknown,
Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-04-24,0,,unknown,
Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-04-24,0,,unknown,
Nay,,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,1830-04-24,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-04-24,0,,unknown,
Yea,,Yea,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1830-04-26,0,,unknown,
Yea,,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-04-27,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,1830-04-28,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1830-04-30,0,,unknown,
Yea,,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,1830-04-30,0,,unknown,
Yea,,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,Nay,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1830-04-30,0,,unknown,
Yea,,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,,Nay,,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,1830-04-30,0,,unknown,
Nay,,Yea,Nay,Yea,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,1830-05-04,0,,unknown,
Nay,,Yea,Nay,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,1830-05-05,0,,unknown,
Nay,,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,1830-05-05,0,,unknown,
Yea,,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,Nay,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,1830-05-05,0,,unknown,
Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,,Not Voting,,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1830-05-07,0,,unknown,
Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Yea,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,1830-05-07,0,,unknown,
Yea,,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,,Nay,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,1830-05-07,0,,unknown,
Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,,Nay,Yea,Not Voting,,Yea,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-05-08,0,,unknown,
Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,,Yea,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1830-05-08,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1830-05-10,0,,unknown,
Yea,,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,1830-05-10,0,,unknown,
Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,1830-05-10,0,,unknown,
