A000020,A000035,A000169,A000175,A000274,A000304,A000344,B000116,B000122,B000166,B000189,B000283,B000288,B000289,B000346,B000430,B000452,B000457,B000471,B000478,B000519,B000521,B000527,B000579,B000603,B000777,B000836,B000879,B000881,B001025,B001040,B001064,B001070,B001074,B001174,B001188,C000040,C000096,C000190,C000455,C000461,C000544,C000558,C000594,C000658,C000678,C000691,C000715,C000801,C000839,C000900,C000901,C000911,C000916,C000933,D000062,D000119,D000148,D000208,D000315,D000393,D000413,D000478,D000510,D000513,D000521,D000555,E000005,E000072,E000103,E000128,E000167,E000225,F000024,F000037,F000129,F000274,F000299,F000305,F000315,F000398,G000063,G000079,G000145,G000166,G000270,G000296,G000470,H000027,H000029,H000087,H000095,H000150,H000155,H000157,H000215,H000222,H000238,H000247,H000357,H000376,H000377,H000383,H000402,H000419,H000420,H000527,H000535,H000556,H000596,H000654,H000732,H000765,H000815,K000062,K000067,K000090,K000143,K000152,K000179,K000193,K000226,L000039,L000042,L000088,L000170,L000289,L000473,L000531,M000017,M000114,M000160,M000284,M000327,M000335,M000367,M000379,M000461,M000468,M000487,M000494,M000525,M000585,M000646,M000653,M000655,M000683,M000802,M000857,M000902,M000942,M000950,M000963,M001131,N000024,N000082,N000083,O000103,P000004,P000008,P000038,P000057,P000059,P000175,P000204,P000221,P000241,P000242,P000252,P000380,P000406,P000438,P000461,P000533,P000541,R000016,R000039,R000094,R000197,R000202,R000275,R000310,R000316,R000336,R000397,R000402,R000428,R000517,S000065,S000091,S000164,S000223,S000251,S000284,S000322,S000325,S000354,S000372,S000375,S000476,S000496,S000498,S000552,S000569,S000641,S000649,S000671,S000713,S000714,S000748,S000765,S000815,S000876,S000893,S000975,S000979,S000985,S001013,S001082,S001092,S001140,T000006,T000136,T000158,T000331,T000337,T000414,T000437,T000443,T000452,U000029,V000060,V000076,V000116,W000002,W000028,W000034,W000041,W000074,W000093,W000165,W000174,W000282,W000341,W000408,W000429,W000478,W000544,W000545,W000596,W000603,W000628,W000694,Y000048,date,isAmendment,requires,result,title
Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,1871-04-10,0,,unknown,hr380
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,1871-04-10,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,1871-04-10,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,1871-04-10,0,,unknown,
Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,1871-04-13,0,,unknown,hr19
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,1871-04-14,0,,unknown,
Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,1871-04-14,0,,unknown,
Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,1871-04-14,0,,unknown,hr19
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,,Nay,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,1871-04-15,0,,unknown,hr19
Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,1871-04-15,0,,unknown,hr19
Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,1871-04-15,0,,unknown,hr19
