B000127,B000921,B001137,C000291,D000024,D000308,E000024,E000078,E000124,G000005,H000735,H000739,H000795,H000991,J000137,J000170,K000212,K000217,K000287,L000083,L000177,L000376,L000405,L000485,M000034,M000636,M000774,M000966,N000118,O000127,P000045,P000084,P000362,P000386,R000313,R000500,S000052,S000628,S000689,S000949,T000017,T000102,T000171,T000264,T000377,V000037,W000052,W000061,W000516,W000540,W000595,date,isAmendment,requires,result,title
Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,1820-05-10,0,,unknown,
Nay,Not Voting,Yea,,Nay,Not Voting,Not Voting,Nay,Yea,Nay,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,1820-05-10,0,,unknown,
Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,,,Nay,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,,Yea,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,1820-05-11,0,,unknown,
Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Not Voting,Yea,,,Yea,Nay,Yea,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,1820-05-11,0,,unknown,
Yea,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Yea,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,1820-05-13,0,,unknown,
Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,,Yea,,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,1820-12-07,0,,unknown,
Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,,Nay,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,1820-12-11,0,,unknown,
Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,,Yea,,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,1820-12-11,0,,unknown,
Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Not Voting,,Not Voting,,Nay,Nay,,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,1820-12-19,0,,unknown,
Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,,Not Voting,,Not Voting,,Yea,Nay,,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,1820-12-19,0,,unknown,
Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,,Not Voting,,Not Voting,,Yea,Yea,,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1820-12-19,0,,unknown,
Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,1820-12-22,0,,unknown,
Yea,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,1821-01-03,0,,unknown,
Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,1821-01-03,0,,unknown,
Nay,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,,Yea,,Yea,,Nay,Nay,,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,1821-01-09,0,,unknown,
Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Yea,,Yea,,Nay,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,1821-01-11,0,,unknown,
Nay,Nay,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,1821-01-20,0,,unknown,
Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,1821-01-31,0,,unknown,
Not Voting,Nay,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,1821-02-02,0,,unknown,
Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,,Nay,Nay,,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,1821-02-05,0,,unknown,
Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Yea,,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,,1821-02-09,0,,unknown,
Nay,Not Voting,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,1821-02-10,0,,unknown,
Yea,Not Voting,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,,Nay,Nay,,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,1821-02-10,0,,unknown,
Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,1821-02-13,0,,unknown,
Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,1821-02-13,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Yea,,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,1821-02-15,0,,unknown,
Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,1821-02-15,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,1821-02-15,0,,unknown,
Nay,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,,Nay,Nay,,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,1821-02-15,0,,unknown,
Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,1821-02-19,0,,unknown,
Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Not Voting,,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,,1821-02-19,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,,1821-02-19,0,,unknown,
Yea,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,,Not Voting,,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,1821-02-19,0,,unknown,
Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Not Voting,,Nay,Nay,,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,,1821-02-19,0,,unknown,
Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,,1821-02-21,0,,unknown,
Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,,Not Voting,,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,1821-02-21,0,,unknown,
Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,,1821-02-21,0,,unknown,
Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,,Not Voting,,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,1821-02-21,0,,unknown,
Yea,Not Voting,,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,Not Voting,,Nay,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,,1821-02-22,0,,unknown,
Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Not Voting,,Yea,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,1821-02-22,0,,unknown,
Yea,Not Voting,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,,Yea,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,1821-02-22,0,,unknown,
Nay,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,,1821-02-23,0,,unknown,
Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,,Not Voting,,Nay,Yea,,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,,1821-02-24,0,,unknown,
Yea,Not Voting,,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,,Not Voting,,Yea,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,,1821-02-24,0,,unknown,
Yea,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Not Voting,,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,1821-02-24,0,,unknown,
Nay,Not Voting,,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Not Voting,,Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,,1821-02-24,0,,unknown,
Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,,Yea,Not Voting,,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,1821-02-24,0,,unknown,
Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,,Nay,Nay,,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,,1821-02-26,0,,unknown,
Yea,Not Voting,,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,1821-02-26,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,,Not Voting,,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,,1821-02-27,0,,unknown,
Not Voting,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Not Voting,,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,,1821-02-28,0,,unknown,
Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,,1821-02-28,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,,Not Voting,,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,1821-02-28,0,,unknown,
Not Voting,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,,Yea,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,1821-02-28,0,,unknown,
Yea,Not Voting,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,,Not Voting,,Nay,Nay,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,,1821-03-03,0,,unknown,
Yea,Not Voting,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,,Not Voting,,Nay,Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,1821-03-03,0,,unknown,
Nay,Not Voting,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,,Yea,Yea,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,1821-03-03,0,,unknown,
