A000028,A000062,A000244,A000342,B000046,B000099,B000111,B000132,B000145,B000460,B000614,B000816,B000823,B000874,B000941,B001055,B001061,B001150,B001177,B001208,B001215,C000133,C000138,C000290,C000338,C000428,C000440,C000684,D000025,D000111,D000469,D000480,E000018,E000112,G000131,G000141,G000205,G000232,G000418,G000519,G000532,H000265,H000334,H000385,H000543,H000598,H000731,H000821,H000926,J000127,J000140,K000176,L000005,L000070,L000198,L000394,L000493,L000510,M000088,M000279,M000308,M000438,M000499,M000583,M000615,M000738,M000771,M001082,M001108,N000023,N000030,N000139,N000176,O000034,O000088,O000146,P000159,P000218,R000006,R000112,R000179,R000443,R000536,S000157,S000337,S000369,S000381,S000506,S000530,S000724,S000901,T000009,T000164,T000172,T000177,T000289,T000387,T000409,T000446,V000025,V000050,W000021,W000088,W000097,W000330,W000396,W000465,W000563,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Present,Nay,Nay,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Present,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,,,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Present,Nay,Nay,Nay,Nay,,Not Voting,,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Not Voting,Present,Nay,Nay,Yea,Not Voting,Present,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,1942-05-12,0,,unknown,hr6293,,,,
,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Present,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Present,Yea,Yea,,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Present,Not Voting,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,,,Not Voting,Nay,Yea,Nay,Nay,,Not Voting,Yea,Present,Yea,Yea,Nay,Yea,,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Present,Not Voting,Nay,Not Voting,Present,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,1942-05-12,0,,unknown,hr6293,,,,
,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Present,Nay,Present,Yea,Nay,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Present,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Not Voting,,,Nay,Nay,Nay,Nay,Not Voting,,Yea,Nay,Present,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,Nay,Nay,Nay,Nay,Present,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Present,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,1942-05-15,0,,unknown,sres248,,,,
,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Present,Nay,Present,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Present,Not Voting,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Nay,Present,Yea,Yea,Yea,Yea,,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Present,Present,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,1942-05-15,0,,unknown,hr6709,,,,
,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Present,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Present,Yea,Present,Not Voting,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Present,Not Voting,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,,,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,Present,Not Voting,Nay,Nay,Nay,,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Present,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Present,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,1942-05-15,0,,unknown,hr6709,,,,
,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Present,Nay,Not Voting,Yea,Nay,Yea,Present,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,Present,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Not Voting,,,Nay,Nay,Nay,Nay,Nay,,Not Voting,Yea,Present,Not Voting,Nay,Nay,Nay,,Not Voting,,Not Voting,Nay,Nay,Nay,Yea,Present,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,1942-05-18,0,,unknown,hr6709,,,,
,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Present,Not Voting,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Not Voting,,,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Present,Not Voting,Yea,Yea,Yea,,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,1942-05-18,0,,unknown,hr6709,,,,
,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Present,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Present,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,,,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Present,Nay,Nay,Nay,Nay,,Not Voting,,Nay,Yea,Nay,Yea,Yea,Present,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,Yea,1942-05-20,0,,unknown,hr6709,,,,
,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Present,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Present,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Nay,Yea,Nay,Yea,Present,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,1942-05-20,0,,unknown,hr6709,,,,
,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Present,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Present,Not Voting,Yea,,Yea,Nay,Nay,Nay,Present,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Present,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Not Voting,,,Yea,Not Voting,Yea,Nay,Nay,,Yea,Nay,Present,Nay,Nay,Nay,Nay,,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Present,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,1942-05-20,0,,unknown,hr6709,,,,
,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Present,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Present,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,,,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Present,Not Voting,Nay,Nay,Nay,,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Yea,1942-05-20,0,,unknown,hr6709,,,,
,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1942-06-04,0,,unknown,hjres319,,,,
,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1942-06-04,0,,unknown,hjres320,,,,
,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1942-06-04,0,,unknown,hjres321,,,,
,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Present,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Nay,Yea,Yea,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,1942-06-08,0,,unknown,s2025,,,,
,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,1942-06-11,0,,unknown,s2025,,,,
,Yea,Nay,Present,Yea,Nay,Not Voting,Yea,Present,Nay,Not Voting,Yea,Present,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Yea,Yea,Not Voting,Present,Nay,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Nay,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Present,Yea,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Not Voting,,,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Present,Not Voting,Nay,Nay,Nay,,Nay,,Present,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Present,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,1942-06-18,0,,unknown,s2412,,,,
,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Present,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Yea,Not Voting,Present,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Present,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,,,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Nay,,Not Voting,Not Voting,Present,Present,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,1942-06-25,0,,unknown,hr6709,,,,
,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,,Yea,Not Voting,Present,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Present,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,,,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Not Voting,Present,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,1942-06-25,0,,unknown,hr6709,,,,
,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Present,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Present,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Present,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Present,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Not Voting,,,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Not Voting,Present,Present,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Present,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,1942-06-25,0,,unknown,hr6709,,,,
,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Present,Nay,Not Voting,Yea,Nay,Not Voting,Present,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Present,Nay,Yea,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Present,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Yea,Not Voting,,,Not Voting,Nay,Not Voting,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,,Yea,,Nay,Not Voting,Present,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Present,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,1942-06-25,0,,unknown,hjres324,,,,
,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Not Voting,Present,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Nay,Not Voting,Present,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Present,,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,,,Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Present,Present,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,1942-06-26,0,,unknown,hr7181,,,,
,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Present,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Nay,Not Voting,Present,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Present,,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,,,Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Present,Present,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,1942-06-26,0,,unknown,hr7181,,,,
,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,,Yea,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,Yea,,,Nay,Nay,Not Voting,Yea,Present,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Present,Yea,Not Voting,Nay,Not Voting,Yea,Present,Yea,Not Voting,Nay,Nay,Nay,1942-07-01,0,,unknown,,,,,
,Yea,Nay,Present,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,Present,Not Voting,Yea,Yea,,Nay,Nay,Yea,Nay,Present,,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Present,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Nay,Not Voting,,,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Not Voting,Not Voting,Not Voting,Present,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,1942-07-07,0,,unknown,s2585,,,,
,Nay,Yea,Present,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Present,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Present,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Present,,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Present,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,,Nay,Yea,Not Voting,,,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Present,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,1942-07-07,0,,unknown,s2585,,,,
,Nay,Yea,Present,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Present,Yea,Present,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Not Voting,Present,,Present,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Present,Nay,,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,,Not Voting,Not Voting,Not Voting,,,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Present,Yea,Yea,Nay,Nay,,Not Voting,,Present,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Present,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,1942-07-15,0,,unknown,hr7319,,,,
,Yea,Yea,Present,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Present,Yea,Not Voting,,Yea,Yea,Nay,Yea,Present,Nay,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,Present,,Present,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Present,Nay,,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,,,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Present,Not Voting,Yea,Present,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,1942-07-15,0,,unknown,hr7319,,,,
